年份,Tot數值,Tot變化,是承諾值
2013,1285231.1,87.51,
2014,1400224.87,95.34,
2015,1426327.43,97.12,
2016,1600501.57,108.98,
2017,1676096.29,114.13,
2018,1553314.12,105.77,
2019,1468615.19,100,
2020,1519872.06,103.49,
2021,1780904.78,121.26,T
2022,1735240.55,118.15,T
2023,1689576.33,115.05,T
2024,1643912.1,111.94,T
2025,1598247.88,108.83,T
2026,1552583.65,105.72,T
2027,1506919.42,102.61,T
2028,1461255.2,99.5,T
2029,1415590.98,96.39,T
2030,1369926.75,93.28,T
2031,1301430.41,88.62,T
2032,1232934.08,83.95,T
2033,1164437.74,79.29,T
2034,1095941.4,74.62,T
2035,1027445.06,69.96,T
2036,958948.73,65.3,T
2037,890452.39,60.63,T
2038,821956.05,55.97,T
2039,753459.71,51.3,T
2040,684963.38,46.64,T
2041,616467.04,41.98,T
2042,547970.7,37.31,T
2043,479474.36,32.65,T
2044,410978.03,27.98,T
2045,342481.69,23.32,T
2046,273985.35,18.66,T
2047,205489.01,13.99,T
2048,136992.68,9.33,T
2049,68496.34,4.66,T
2050,0,0,T
