年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,270544.9,97.16,95664.16,99.65,174880.74,95.86,
2019,278446.11,100,96003.19,100,182442.92,100,
2018,261841.12,94.04,88746.7,92.44,173094.42,94.88,
2017,277166.21,99.54,96920.32,100.96,180245.89,98.8,
2016,380314.44,136.58,121421.27,126.48,258893.17,141.9,
2015,209432.75,75.21,83025.33,86.48,126407.42,69.29,
2014,222695.66,79.98,107780.11,112.27,114915.55,62.99,
2021,268337.8,96.37,95245.44,99.21,173092.36,94.87,T
2022,266130.69,95.58,94826.72,98.77,171303.97,93.89,T
2023,263923.59,94.78,94408,98.34,169515.59,92.91,T
2024,261716.49,93.99,93989.28,97.9,167727.21,91.93,T
2025,259509.38,93.2,93570.56,97.47,165938.82,90.95,T
2026,257302.28,92.41,93151.84,97.03,164150.44,89.97,T
2027,255095.18,91.61,92733.12,96.59,162362.06,88.99,T
2028,252888.07,90.82,92314.4,96.16,160573.67,88.01,T
2029,250680.97,90.03,91895.68,95.72,158785.29,87.03,T
2030,248473.87,89.24,91476.96,95.29,156996.91,86.05,T
2031,246266.76,88.44,91058.24,94.85,155208.52,85.07,T
2032,244059.66,87.65,90639.52,94.41,153420.14,84.09,T
2033,241852.56,86.86,90220.8,93.98,151631.76,83.11,T
2034,239645.45,86.07,89802.08,93.54,149843.37,82.13,T
2035,237438.35,85.27,89383.36,93.1,148054.99,81.15,T
2036,235231.25,84.48,88964.64,92.67,146266.61,80.17,T
2037,233024.14,83.69,88545.92,92.23,144478.22,79.19,T
2038,230817.04,82.89,88127.2,91.8,142689.84,78.21,T
2039,228609.94,82.1,87708.48,91.36,140901.46,77.23,T
2040,226402.83,81.31,87289.76,90.92,139113.07,76.25,T
2041,224195.73,80.52,86871.04,90.49,137324.69,75.27,T
2042,221988.63,79.72,86452.32,90.05,135536.31,74.29,T
2043,219781.52,78.93,86033.6,89.62,133747.92,73.31,T
2044,217574.42,78.14,85614.88,89.18,131959.54,72.33,T
2045,215367.32,77.35,85196.16,88.74,130171.16,71.35,T
2046,213160.21,76.55,84777.44,88.31,128382.77,70.37,T
2047,210953.11,75.76,84358.72,87.87,126594.39,69.39,T
2048,208746.01,74.97,83940,87.43,124806.01,68.41,T
2049,206538.9,74.18,83521.28,87,123017.62,67.43,T
2050,204331.8,73.38,83102.56,86.56,121229.24,66.45,T
