分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,55539.65000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,51528.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,107068.57
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,58311.759999999995
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,52293.22
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,110604.98
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,59247.950000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,50836.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,110084.22
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,114900.78
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,51060.68
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,165961.46
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,11432.151644821135
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,130564.21
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,54956.11
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,185520.32
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,11336.567516683705
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,155947.77000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,52719.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,208667.19
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,11263.727093172201
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,126021.33
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,49570.33
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,175591.66
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,12933.776068578785
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,173389.05
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,50232.81
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,223621.86
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,12116.14432189817
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,100000
E,環境違規,違反環境法規次數-空氣,,次,2020,1
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,758
S,員工薪資,薪資中位數,,仟元,2020,671
S,員工薪資,平均薪資,,仟元,2019,702
S,員工薪資,薪資中位數,,仟元,2019,617
S,員工薪資,平均薪資,,仟元,2018,797
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,1845652
G,營運狀況,營業成本,,仟元,2020,1427057
G,營運狀況,營業費用,,仟元,2020,200327
G,營運狀況,淨利,,仟元,2020,219533
G,營運狀況,營業收入,,仟元,2019,1357621
G,營運狀況,營業成本,,仟元,2019,1250656
G,營運狀況,營業費用,,仟元,2019,216429
G,營運狀況,淨利,,仟元,2019,-396923
G,營運狀況,營業收入,,仟元,2018,1852559
G,營運狀況,營業成本,,仟元,2018,1497483
G,營運狀況,營業費用,,仟元,2018,228975
G,營運狀況,淨利,,仟元,2018,183545
G,營運狀況,營業收入,,仟元,2017,1636477
G,營運狀況,營業成本,,仟元,2017,1360551
G,營運狀況,營業費用,,仟元,2017,212783
G,營運狀況,淨利,,仟元,2017,-35880
G,營運狀況,營業收入,,仟元,2016,1451708
G,營運狀況,營業成本,,仟元,2016,1208071
G,營運狀況,營業費用,,仟元,2016,192053
G,營運狀況,淨利,,仟元,2016,-130133
