年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2019,158279.17,100,154415.45,100,3863.72,100,
2018,205315.23,129.72,201401.94,130.43,3913.29,101.28,
2017,229755.55,145.16,227260.56,147.17,2494.99,64.57,
2016,211736.2,133.77,209988.38,135.99,1747.82,45.24,
2015,219549.45,138.71,217687.93,140.98,1861.52,48.18,
2020,140460.16,88.74,135891.14,88,4569.02,118.25,T
2021,122641.15,77.48,117366.83,76.01,5274.32,136.51,T
2022,104822.14,66.23,98842.52,64.01,5979.62,154.76,T
2023,87003.13,54.97,80318.21,52.01,6684.92,173.02,T
2024,69184.12,43.71,61793.9,40.02,7390.22,191.27,T
2025,51365.11,32.45,43269.59,28.02,8095.52,209.53,T
2026,33546.1,21.19,24745.28,16.03,8800.82,227.78,T
2027,15727.09,9.94,6220.97,4.03,9506.12,246.04,T
2028,0,0,0,0,10211.42,264.29,T
2029,0,0,0,0,10916.72,282.54,T
2030,0,0,0,0,11622.02,300.8,T
2031,0,0,0,0,12327.32,319.05,T
2032,0,0,0,0,13032.62,337.31,T
2033,0,0,0,0,13737.92,355.56,T
2034,0,0,0,0,14443.22,373.82,T
2035,0,0,0,0,15148.52,392.07,T
2036,0,0,0,0,15853.82,410.33,T
2037,0,0,0,0,16559.12,428.58,T
2038,0,0,0,0,17264.42,446.83,T
2039,0,0,0,0,17969.72,465.09,T
2040,0,0,0,0,18675.02,483.34,T
2041,0,0,0,0,19380.32,501.6,T
2042,0,0,0,0,20085.62,519.85,T
2043,0,0,0,0,20790.92,538.11,T
2044,0,0,0,0,21496.22,556.36,T
2045,0,0,0,0,22201.52,574.62,T
2046,0,0,0,0,22906.82,592.87,T
2047,0,0,0,0,23612.12,611.12,T
2048,0,0,0,0,24317.42,629.38,T
2049,0,0,0,0,25022.72,647.63,T
2050,0,0,0,0,25728.02,665.89,T
