分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,電力使用產生之二氧化碳排放為本公司主要溫室氣體排放來源，將更換節能電器後目標再節電30%用量。
S,員工薪資,平均薪資,,仟元,2020,692
S,員工薪資,薪資中位數,,仟元,2020,517
S,員工薪資,平均薪資,,仟元,2019,876
S,員工薪資,薪資中位數,,仟元,2019,734
S,員工薪資,平均薪資,,仟元,2018,925
G,資本額,資本額,,元,2020,2080887950
G,資本額,資本額,,元,2019,2080887950
G,營運狀況,營業收入,,仟元,2020,3056058
G,營運狀況,營業成本,,仟元,2020,3139762
G,營運狀況,營業費用,,仟元,2020,614621
G,營運狀況,淨利,,仟元,2020,-643349
G,營運狀況,營業收入,,仟元,2019,2443687
G,營運狀況,營業成本,,仟元,2019,2266095
G,營運狀況,營業費用,,仟元,2019,748406
G,營運狀況,淨利,,仟元,2019,-52877
G,營運狀況,營業收入,,仟元,2018,8179964
G,營運狀況,營業成本,,仟元,2018,7950538
G,營運狀況,營業費用,,仟元,2018,1267249
G,營運狀況,淨利,,仟元,2018,-714251
G,營運狀況,營業收入,,仟元,2017,16330340
G,營運狀況,營業成本,,仟元,2017,15775714
G,營運狀況,營業費用,,仟元,2017,1328765
G,營運狀況,淨利,,仟元,2017,-681375
G,營運狀況,營業收入,,仟元,2016,21109430
G,營運狀況,營業成本,,仟元,2016,20572568
G,營運狀況,營業費用,,仟元,2016,1479928
G,營運狀況,淨利,,仟元,2016,-1551048
