年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,116150.46,82.57,32854.81,64.85,83295.65,92.54,
2021,139100.9,98.89,48304.26,95.35,90796.64,100.88,
2020,130538.37,92.8,44563.84,87.97,85974.53,95.52,
2019,140667.63,100,50660.19,100,90007.44,100,
2018,153992.18,109.47,53552.29,105.71,100439.89,111.59,
2023,107978.07,76.76,26919.69,53.14,81058.39,90.06,T
2024,99805.69,70.95,20984.56,41.42,78821.12,87.57,T
2025,91633.3,65.14,15049.44,29.71,76583.86,85.09,T
2026,83460.91,59.33,9114.31,17.99,74346.6,82.6,T
2027,75288.52,53.52,3179.19,6.28,72109.33,80.11,T
2028,67116.13,47.71,0,0,69872.07,77.63,T
2029,58943.74,41.9,0,0,67634.81,75.14,T
2030,50771.35,36.09,0,0,65397.54,72.66,T
2031,42598.96,30.28,0,0,63160.28,70.17,T
2032,34426.57,24.47,0,0,60923.02,67.69,T
2033,26254.18,18.66,0,0,58685.75,65.2,T
2034,18081.79,12.85,0,0,56448.49,62.72,T
2035,9909.41,7.04,0,0,54211.23,60.23,T
2036,1737.02,1.23,0,0,51973.96,57.74,T
2037,0,0,0,0,49736.7,55.26,T
2038,0,0,0,0,47499.44,52.77,T
2039,0,0,0,0,45262.17,50.29,T
2040,0,0,0,0,43024.91,47.8,T
2041,0,0,0,0,40787.65,45.32,T
2042,0,0,0,0,38550.38,42.83,T
2043,0,0,0,0,36313.12,40.34,T
2044,0,0,0,0,34075.85,37.86,T
2045,0,0,0,0,31838.59,35.37,T
2046,0,0,0,0,29601.33,32.89,T
2047,0,0,0,0,27364.06,30.4,T
2048,0,0,0,0,25126.8,27.92,T
2049,0,0,0,0,22889.54,25.43,T
2050,0,0,0,0,20652.27,22.95,T
