分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,34084.45000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,163609.08
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,41374.24000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,177709.08
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,47575.79999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,200860.95
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,63672.640000000014
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,206301.69
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,641.3955061791385
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,124636.71999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,501717.52
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1316.0971959198343
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,64510.06
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,265596.03
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,644.8603381541469
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,65748.83999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,268947.46
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,686.2547859470361
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,53271
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,274222.12
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,539.6770053430464
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,53271
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,278046
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,545.9783899559237
E,能源使用狀況,總用電量,true,度,2020,546259166.67
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,900182.3037065745
E,水資源,總取水量,true,噸,2020,3600000
E,水資源,回收水量,true,噸,2020,10210000
E,水資源,耗用水量,true,噸,2020,1216000
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2020,無揭露
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,3.4229999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.5449999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.7359999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.981
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.33299999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.336
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,4.782
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.31
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,5.271
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.0789999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.28600000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.519
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.898
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.178
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.025
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.452
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,16.121000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.8179999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.256
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,14.978000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.637
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.066
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.038
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.047
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,11.252
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.265
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.153
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,7.814
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,9.47
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.29200000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.182
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,8.431
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,12.242
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.18699999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.266
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,9.413
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,21.756
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.162
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.7159999999999999
