分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司將持續統計全公司每年度溫室氣體排放量及配合政府法規持續推動溫室氣體盤查，排放量減量目標尚未訂定。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.156
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.22599999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.436
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.364
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.858
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.15200000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.521
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.156
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.176
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.5820000000000001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.412
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.123
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.514
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.08299999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.095
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.521
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,0.115
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.092
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.254
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.074
E,環境違規,違反環境法規金額-misc,,元,2011,60000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2016,100000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
S,員工薪資,平均薪資,,仟元,2020,1085
S,員工薪資,薪資中位數,,仟元,2020,853
S,員工薪資,平均薪資,,仟元,2019,1046
S,員工薪資,薪資中位數,,仟元,2019,857
S,員工薪資,平均薪資,,仟元,2018,853
G,資本額,資本額,,元,2020,2769035910
G,資本額,資本額,,元,2019,2769035910
