分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,以每年度低減2%作為企業溫室氣體排放量減量目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,6.263
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,5.715999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.858
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,248.272
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,9.553
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,10.291
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.82
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,494.996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,8.724
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,8.806
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.1789999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,519.3470000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.971
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,5.503
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.427
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,433.887
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.774
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,6.033
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.859
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,483.243
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,9.781
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,7.7620000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.9410000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,571.2270000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,11.825999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,9.729000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.013
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,616.611
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,10.943000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,8.587
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,4.61
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,608.2180000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,7.828
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,4.152
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,4.509
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,560.5440000000001
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.004
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,0.004
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,28.959
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,4.576
