分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
S,員工薪資,平均薪資,,仟元,2020,708
S,員工薪資,薪資中位數,,仟元,2020,615
S,員工薪資,平均薪資,,仟元,2019,722
S,員工薪資,薪資中位數,,仟元,2019,620
S,員工薪資,平均薪資,,仟元,2018,683
G,資本額,資本額,,元,2020,949336510
G,資本額,資本額,,元,2019,949336510
G,營運狀況,營業收入,,仟元,2020,1484413
G,營運狀況,營業成本,,仟元,2020,1158458
G,營運狀況,營業費用,,仟元,2020,207925
G,營運狀況,淨利,,仟元,2020,121303
G,營運狀況,營業收入,,仟元,2019,1241252
G,營運狀況,營業成本,,仟元,2019,945127
G,營運狀況,營業費用,,仟元,2019,187074
G,營運狀況,淨利,,仟元,2019,112683
G,營運狀況,營業收入,,仟元,2018,1120346
G,營運狀況,營業成本,,仟元,2018,818237
G,營運狀況,營業費用,,仟元,2018,172643
G,營運狀況,淨利,,仟元,2018,160511
G,營運狀況,營業收入,,仟元,2017,1233076
G,營運狀況,營業成本,,仟元,2017,945023
G,營運狀況,營業費用,,仟元,2017,150737
G,營運狀況,淨利,,仟元,2017,126809
G,營運狀況,營業收入,,仟元,2016,1040462
G,營運狀況,營業成本,,仟元,2016,829889
G,營運狀況,營業費用,,仟元,2016,108502
G,營運狀況,淨利,,仟元,2016,85201
