分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,19733.98
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,1185.5
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,20919.48
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,3.376
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.146
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.125
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.152
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.7520000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.112
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,2.1319999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.378
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,4.23
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.107
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.774
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.198
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,5.191999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.099
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.767
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,2.482
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,13.374999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,9.734
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,5.474
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.921
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,25.135
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,26.917
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,6.384
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.2850000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,36.156
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,35.987
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,5.907
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.141
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,44.178000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,62.327000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,8.178
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.112
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,31.732000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,40.204
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,6.723999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,2.635
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,30.788
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,31.19
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,6.146999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.0580000000000003
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,27.650999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,9.241999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,5.089
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.436
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.023000000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,24.922
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,9.843
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.8449999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.875
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.024
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,7.7090000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.333
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.264
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,2.867
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.015
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,7.841
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.373
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.448
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,2.969
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2022,0.016
E,空氣污染物申報-有害空氣污染物,重金屬,,,2022,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,3.004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,0.099
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,1.0430000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2023,0.006
E,環境違規,違反環境法規金額-misc,,元,2011,25000
E,環境違規,違反環境法規次數-misc,,次,2011,4
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2013,130000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,100000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,150000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,21000
E,環境違規,違反環境法規次數-misc,,次,2016,4
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,6000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,612000
E,環境違規,違反環境法規次數-misc,,次,2018,6
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,106000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,6000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,700000
E,環境違規,違反環境法規次數-空氣,,次,2020,2
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,13000
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2022,6000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
E,環境違規,違反環境法規金額-misc,,元,2023,0
