分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,516
S,員工薪資,薪資中位數,,仟元,2020,477
S,員工薪資,平均薪資,,仟元,2019,532
S,員工薪資,薪資中位數,,仟元,2019,457
S,員工薪資,平均薪資,,仟元,2018,601
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,532536
G,營運狀況,營業成本,,仟元,2020,490316
G,營運狀況,營業費用,,仟元,2020,151428
G,營運狀況,淨利,,仟元,2020,-128547
G,營運狀況,營業收入,,仟元,2019,1124798
G,營運狀況,營業成本,,仟元,2019,1171496
G,營運狀況,營業費用,,仟元,2019,186895
G,營運狀況,淨利,,仟元,2019,-395502
G,營運狀況,營業收入,,仟元,2018,1131495
G,營運狀況,營業成本,,仟元,2018,1018900
G,營運狀況,營業費用,,仟元,2018,170498
G,營運狀況,淨利,,仟元,2018,-64819
G,營運狀況,營業收入,,仟元,2017,1307498
G,營運狀況,營業成本,,仟元,2017,1166862
G,營運狀況,營業費用,,仟元,2017,159187
G,營運狀況,淨利,,仟元,2017,9174
G,營運狀況,營業收入,,仟元,2016,1148043
G,營運狀況,營業成本,,仟元,2016,923634
G,營運狀況,營業費用,,仟元,2016,171957
G,營運狀況,淨利,,仟元,2016,29040
