分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,45847.409999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,10619.65
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,56467.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,41862.25
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,9961.31
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,51823.56
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,46381.21000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,10746.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,57127.91
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,42420.67
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,10951.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,53372.59
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,37158.990000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,9211.09
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,46370.08
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,35563.26
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9515.86
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,45079.12
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,27095.46
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,9231.58
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,36327.04
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,59.58499999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,77.741
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,10.447999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.092
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,38.116
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,45.22
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,5.117
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.692
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,79.344
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,92.388
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,10.05
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.724
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,19.412
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,24.2
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,3.246
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,55.382999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,69.162
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,5.688
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,7.3149999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,50.427
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,62.843
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,11.722999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,11.779
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,57.485
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,61.311
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,5.812
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,5.019
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,51.361
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,55.35
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,9.681000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,10.146999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,52.623
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,56.382999999999996
