分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,791594.26
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,791594.26
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,807806.6
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,807806.6
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,778413.22
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,778413.22
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,775547.43
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,775547.43
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,790755.8
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,790755.8
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,771274.23
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,771274.23
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,713996.01
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,713996.01
S,員工薪資,平均薪資,仟元,2020,992
S,員工薪資,薪資中位數,仟元,2020,902
S,員工薪資,平均薪資,仟元,2019,933
S,員工薪資,薪資中位數,仟元,2019,854
S,員工薪資,平均薪資,仟元,2018,1019
S,員工薪資,薪資中位數,仟元,2018,NaN
