分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報,苯,,,2018,0
E,空氣污染物申報,四氯化碳,,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,,2018,0
E,空氣污染物申報,戴奧辛,,,2018,0
E,空氣污染物申報,乙苯,,,2018,0
E,空氣污染物申報,二氯甲烷,,,2018,0
E,空氣污染物申報,氮氧化物,,,2018,0
E,空氣污染物申報,硫氧化物,,,2018,0
E,空氣污染物申報,苯乙烯,,,2018,0
E,空氣污染物申報,粒狀污染物,,,2018,1.748
E,空氣污染物申報,四氯乙烯,,,2018,0
E,空氣污染物申報,甲苯,,,2018,0
E,空氣污染物申報,三氯乙烷,,,2018,0
E,空氣污染物申報,三氯乙烯,,,2018,0
E,空氣污染物申報,揮發性有機化合物,,,2018,0.37500000000000006
E,空氣污染物申報,二甲苯,,,2018,0
E,空氣污染物申報,三氯甲烷,,,2018,0
E,空氣污染物申報,重金屬,,,2018,0
E,空氣污染物申報,苯,,,2019,0
E,空氣污染物申報,四氯化碳,,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,,2019,0
E,空氣污染物申報,戴奧辛,,,2019,0
E,空氣污染物申報,乙苯,,,2019,0
E,空氣污染物申報,二氯甲烷,,,2019,0
E,空氣污染物申報,氮氧化物,,,2019,0
E,空氣污染物申報,硫氧化物,,,2019,0
E,空氣污染物申報,苯乙烯,,,2019,0
E,空氣污染物申報,粒狀污染物,,,2019,0.002
E,空氣污染物申報,四氯乙烯,,,2019,0
E,空氣污染物申報,甲苯,,,2019,0
E,空氣污染物申報,三氯乙烷,,,2019,0
E,空氣污染物申報,三氯乙烯,,,2019,0
E,空氣污染物申報,揮發性有機化合物,,,2019,0.7350000000000001
E,空氣污染物申報,二甲苯,,,2019,0
E,空氣污染物申報,三氯甲烷,,,2019,0
E,空氣污染物申報,重金屬,,,2019,0
E,空氣污染物申報,苯,,,2020,0
E,空氣污染物申報,四氯化碳,,,2020,0
E,空氣污染物申報,1-1-二氯乙烷,,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,,2020,0
E,空氣污染物申報,戴奧辛,,,2020,0
E,空氣污染物申報,乙苯,,,2020,0
E,空氣污染物申報,二氯甲烷,,,2020,0
E,空氣污染物申報,氮氧化物,,,2020,0
E,空氣污染物申報,硫氧化物,,,2020,0
E,空氣污染物申報,苯乙烯,,,2020,0
E,空氣污染物申報,粒狀污染物,,,2020,0.008
E,空氣污染物申報,四氯乙烯,,,2020,0
E,空氣污染物申報,甲苯,,,2020,0
E,空氣污染物申報,三氯乙烷,,,2020,0
E,空氣污染物申報,三氯乙烯,,,2020,0
E,空氣污染物申報,揮發性有機化合物,,,2020,0.051000000000000004
E,空氣污染物申報,二甲苯,,,2020,0
E,空氣污染物申報,三氯甲烷,,,2020,0
E,空氣污染物申報,重金屬,,,2020,0
E,空氣污染物申報,苯,,,2021,0
E,空氣污染物申報,四氯化碳,,,2021,0
E,空氣污染物申報,1-1-二氯乙烷,,,2021,0
E,空氣污染物申報,1-2-二氯乙烷,,,2021,0
E,空氣污染物申報,戴奧辛,,,2021,0
E,空氣污染物申報,乙苯,,,2021,0
E,空氣污染物申報,二氯甲烷,,,2021,0
E,空氣污染物申報,氮氧化物,,,2021,0
E,空氣污染物申報,硫氧化物,,,2021,0
E,空氣污染物申報,苯乙烯,,,2021,0
E,空氣污染物申報,粒狀污染物,,,2021,0.001
E,空氣污染物申報,四氯乙烯,,,2021,0
E,空氣污染物申報,甲苯,,,2021,0
E,空氣污染物申報,三氯乙烷,,,2021,0
E,空氣污染物申報,三氯乙烯,,,2021,0
E,空氣污染物申報,揮發性有機化合物,,,2021,0.001
E,空氣污染物申報,二甲苯,,,2021,0
E,空氣污染物申報,三氯甲烷,,,2021,0
E,空氣污染物申報,重金屬,,,2021,0
E,環境違規,違反環境法規金額,,元,2010,120000
E,環境違規,違反環境法規次數,,次,2010,2
E,環境違規,違反環境法規金額,,元,2012,60000
E,環境違規,違反環境法規次數,,次,2012,1
E,環境違規,違反環境法規金額,,元,2013,16000
E,環境違規,違反環境法規次數,,次,2013,2
E,環境違規,違反環境法規金額,,元,2014,390000
E,環境違規,違反環境法規次數,,次,2014,1
E,環境違規,違反環境法規金額,,元,2015,225000
E,環境違規,違反環境法規次數,,次,2015,1
E,環境違規,違反環境法規金額,,元,2016,162000
E,環境違規,違反環境法規次數,,次,2016,1
E,環境違規,違反環境法規金額,,元,2018,825500
E,環境違規,違反環境法規次數,,次,2018,10
E,環境違規,違反環境法規金額,,元,2019,558000
E,環境違規,違反環境法規次數,,次,2019,2
E,環境違規,違反環境法規金額,,元,2020,230000
E,環境違規,違反環境法規次數,,次,2020,3
S,員工薪資,平均薪資,,仟元,2020,662
S,員工薪資,薪資中位數,,仟元,2020,567
S,員工薪資,平均薪資,,仟元,2019,829
S,員工薪資,薪資中位數,,仟元,2019,683
S,員工薪資,平均薪資,,仟元,2018,783
G,資本額,資本額,,元,2020,526471550
G,資本額,資本額,,元,2019,526471550
G,營運狀況,營業收入,,仟元,2020,1704031
G,營運狀況,營業成本,,仟元,2020,1378064
G,營運狀況,營業費用,,仟元,2020,292322
G,營運狀況,淨利,,仟元,2020,59832
G,營運狀況,營業收入,,仟元,2019,2816190
G,營運狀況,營業成本,,仟元,2019,1967670
G,營運狀況,營業費用,,仟元,2019,375049
G,營運狀況,淨利,,仟元,2019,350824
G,營運狀況,營業收入,,仟元,2018,2279430
G,營運狀況,營業成本,,仟元,2018,1574907
G,營運狀況,營業費用,,仟元,2018,341892
G,營運狀況,淨利,,仟元,2018,301004
G,營運狀況,營業收入,,仟元,2017,1748048
G,營運狀況,營業成本,,仟元,2017,1257280
G,營運狀況,營業費用,,仟元,2017,244127
G,營運狀況,淨利,,仟元,2017,185140
G,營運狀況,營業收入,,仟元,2016,1637938
G,營運狀況,營業成本,,仟元,2016,1107496
G,營運狀況,營業費用,,仟元,2016,253880
G,營運狀況,淨利,,仟元,2016,221238
