分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,115.37039999999979
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,5814.8106
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,5930.181
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.023
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.461
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.069
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.42000000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.44799999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.44899999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.45599999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.42799999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.39899999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.4
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.013000000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.011
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.397
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.021
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.756
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.188
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.032
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.564
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.12
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.020000000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.9709999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.17700000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.021000000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,4.48
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.038000000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.385
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,200000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2013,60000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,160000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2016,66000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,81000
E,環境違規,違反環境法規次數-水,,次,2016,1
E,環境違規,違反環境法規金額-misc,,元,2019,20000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,63000
E,環境違規,違反環境法規次數-水,,次,2019,1
E,環境違規,違反環境法規金額-misc,,元,2022,6000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
G,資本額,資本額,,元,2020,467966000
G,資本額,資本額,,元,2019,467966000
