分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,無資料
S,員工薪資,平均薪資,,仟元,2020,827
S,員工薪資,薪資中位數,,仟元,2020,806
S,員工薪資,平均薪資,,仟元,2019,839
S,員工薪資,薪資中位數,,仟元,2019,763
S,員工薪資,平均薪資,,仟元,2018,797
G,資本額,資本額,,元,2020,692571510
G,資本額,資本額,,元,2019,692571510
G,營運狀況,營業收入,,仟元,2020,3395005
G,營運狀況,營業成本,,仟元,2020,2339198
G,營運狀況,營業費用,,仟元,2020,558951
G,營運狀況,淨利,,仟元,2020,379262
G,營運狀況,營業收入,,仟元,2019,2967728
G,營運狀況,營業成本,,仟元,2019,2211761
G,營運狀況,營業費用,,仟元,2019,698926
G,營運狀況,淨利,,仟元,2019,67813
G,營運狀況,營業收入,,仟元,2018,3753387
G,營運狀況,營業成本,,仟元,2018,2836349
G,營運狀況,營業費用,,仟元,2018,666677
G,營運狀況,淨利,,仟元,2018,232408
G,營運狀況,營業收入,,仟元,2017,3281439
G,營運狀況,營業成本,,仟元,2017,2361511
G,營運狀況,營業費用,,仟元,2017,541477
G,營運狀況,淨利,,仟元,2017,305138
G,營運狀況,營業收入,,仟元,2016,2135307
G,營運狀況,營業成本,,仟元,2016,1524960
G,營運狀況,營業費用,,仟元,2016,448659
G,營運狀況,淨利,,仟元,2016,112601
