分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,981.6199999999953
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,33846.72
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,34828.34
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.5730000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.268
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,153.45100000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.8069999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.378
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,105.52499999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.096
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.9139999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,74.742
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.4240000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.457
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,55.675
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,3.251
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.091
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,56.536
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,3.164
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.417
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,52.611999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.202
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.894
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,41.760000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.288
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.126
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.562
E,環境違規,違反環境法規金額-misc,,元,2011,100000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,900000
E,環境違規,違反環境法規次數-空氣,,次,2015,2
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
G,資本額,資本額,,元,2020,3899902700
G,資本額,資本額,,元,2019,3899902700
