分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,458567.587
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,233971.545
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,692539.132
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,1218000
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,881000
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,541180
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,2099000
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,1341000
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,1145000
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,222060
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,2486000
E,能源使用狀況,總用電量,true,度（KWh）,2021,2163333335.064
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2021,1900
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,13390000
E,能源使用狀況,總用電量,true,度（KWh）,2022,1586944445.714
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,3728
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,14200000
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2022,20915000
E,水資源,回收水量,true,,2022,1251704000
E,水資源,耗用水量,true,,2022,8432000
E,水資源,排放水量,true,,2022,11483000
E,水資源,總取水量,true,,2021,22627
E,水資源,回收水量,true,,2021,1261963
E,水資源,耗用水量,true,,2021,10206
E,水資源,排放水量,true,,2021,12421000
E,廢棄物管理,一般事業廢棄物,true,,2022,178072
E,廢棄物管理,有害事業廢棄物,true,,2022,12138
E,廢棄物管理,資源化再利用,true,,2022,174492
E,廢棄物管理,一般事業廢棄物,true,,2021,191109
E,廢棄物管理,有害事業廢棄物,true,,2021,17479.3
E,廢棄物管理,資源化再利用,true,,2021,189318
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,577.8299999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,547.4420000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,84.74899999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,280.275
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,618.3159999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,672.3580000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,115.30900000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,303.92300000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,579.397
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,586.4549999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,96.53
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,267.063
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,538.929
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,512.384
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,75.934
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,358.318
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,565.0049999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,483.36800000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,92.01
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,371.90900000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,635.677
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,358.984
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,85.89699999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,328.203
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,683.314
