分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2010,12000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2013,12000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,70000
E,環境違規,違反環境法規次數-水,,次,2015,1
E,環境違規,違反環境法規金額-misc,,元,2017,0
E,環境違規,違反環境法規次數-misc,,次,2017,0
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,84000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,60000
E,環境違規,違反環境法規次數-水,,次,2018,1
E,環境違規,違反環境法規金額-misc,,元,2019,100000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,715
S,員工薪資,薪資中位數,,仟元,2020,669
S,員工薪資,平均薪資,,仟元,2019,713
S,員工薪資,薪資中位數,,仟元,2019,659
S,員工薪資,平均薪資,,仟元,2018,693
G,資本額,資本額,,元,2020,14391955890
G,資本額,資本額,,元,2019,14391955890
G,營運狀況,營業收入,,仟元,2020,37287949
G,營運狀況,營業成本,,仟元,2020,18580671
G,營運狀況,營業費用,,仟元,2020,14622314
G,營運狀況,淨利,,仟元,2020,2544897
G,營運狀況,營業收入,,仟元,2019,37896062
G,營運狀況,營業成本,,仟元,2019,18253449
G,營運狀況,營業費用,,仟元,2019,15103962
G,營運狀況,淨利,,仟元,2019,2152269
G,營運狀況,營業收入,,仟元,2018,39242551
G,營運狀況,營業成本,,仟元,2018,19091584
G,營運狀況,營業費用,,仟元,2018,15963638
G,營運狀況,淨利,,仟元,2018,1650495
G,營運狀況,營業收入,,仟元,2017,41166982
G,營運狀況,營業成本,,仟元,2017,20673607
G,營運狀況,營業費用,,仟元,2017,17406651
G,營運狀況,淨利,,仟元,2017,1845022
G,營運狀況,營業收入,,仟元,2016,43496489
G,營運狀況,營業成本,,仟元,2016,21595367
G,營運狀況,營業費用,,仟元,2016,18740006
G,營運狀況,淨利,,仟元,2016,1495558
