分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.36
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.384
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.211
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.751
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,2.338
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.9340000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,2.776
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,23.094
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,4.829
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,4.975
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.225
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,70.186
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.252
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.273
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.886
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,13.193
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,5.44
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,4.845
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,4.085
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,47.059
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,3.1550000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,2.747
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,3.876
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,30.339
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.15
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.662
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,3.6510000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,37.126999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,3.107
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.158
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,2.698
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,25.073
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,4.223999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.499
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,7.2509999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,62.498
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.1600000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.708
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,5.703
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,71.605
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,18.282
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,21.796999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.9460000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,78.011
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,17.354
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,19.624000000000002
