分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,115165.71
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,12618.03
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,127783.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,118425.16
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,12561.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,130986.87
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,115984.06999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,11810.86
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,127794.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,98409.8
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,10910.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,109320.2
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,108593.33
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,10399.26
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,118992.59
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,90128.85
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9991.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,100120.27
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,6065.3183102209305
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,88985.97
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,9775.94
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,98761.91
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,6088.03750888438
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,71774.81
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,9665.34
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,81440.15
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,76284.2619
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,9954.2651
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,86238.527
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,1.為達成「溫室氣體減量及管理法」（以下簡稱溫管法）以五年為一階段，由中央主管機關會商中央目的事業主管機關訂定各階段管制目標，環保署已會商中央目的事業主管機關訂定我國第一期(2016-2020年）目標：2020年較基準年減 2%，溫室氣體階段管制目標，鋼聯依據法規減量情境，設定減量規劃，以2012年基準年，執行相關減碳行動計畫，2020年溫室氣體相對基準年已減量34%。  I.短期目標：2020年溫室氣體排放量年減量2%  II.中期目標：2025年溫室氣體排放量年減量10%  III.長期目標：2030年溫室氣體排放量年減量50%2.鋼聯新設定溫室氣體管理關鍵績效指標及目標，包括：國家階段管制總排放量目標、範疇一排放強度目標(噸CO2e/噸污土+集塵灰)、範疇二排放強度目標(噸CO2e/噸污土+集塵灰)。  I.國家階段管制總排放量目標    i.短期目標：2020年溫室氣體排放量年減量2%    ii.中期目標：2025年溫室氣體排放量年減量10%    iii.長期目標：2030年溫室氣體排放量年減量50%  II.範疇一排放強度目標(噸CO2e/噸污土+集塵灰)：2025年排放強度為0.56，規劃2030年排放強度達0.53  III.範疇二排放強度目標(噸CO2e/噸污土+集塵灰)： 2025年排放強度為0.064，規劃2030年排放強度達0.062相關資訊請參閱鋼聯企業社會責任報告書（5.3營運生態效率）及企業社會責任網站（網址：https://www.tsutw.com.tw/tsucsr/index.php）。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,16.563000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,56.910000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,6.122999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,22.725999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,98.969
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,8.5
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,17.193
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,126.772
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,6.968
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,10.453
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,103.55600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,9.87
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,67.415
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,8.8
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,11.838
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,41.781000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,9.665000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,23.634
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,17.2
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,7.228
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,24.934
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,19.383000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,5.358
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,19.165
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,30.099000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,4.822
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,16.124
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,23.621
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,3.6900000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,15.187000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,12.616
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.651
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.049
