分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2013,12.069999999999709
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2013,7671.96
S,員工薪資,平均薪資,仟元,2020,719
S,員工薪資,薪資中位數,仟元,2020,626
S,員工薪資,平均薪資,仟元,2019,643
S,員工薪資,薪資中位數,仟元,2019,550
S,員工薪資,平均薪資,仟元,2018,679
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,678919510
G,,資本額,元,2019,678919510
G,收入、成本與淨利,營業收入,仟元,2020,1638051
G,收入、成本與淨利,營業成本,仟元,2020,1217433
G,收入、成本與淨利,營業費用,仟元,2020,229169
G,收入、成本與淨利,淨利,仟元,2020,207781
G,收入、成本與淨利,營業收入,仟元,2019,1672591
G,收入、成本與淨利,營業成本,仟元,2019,1404448
G,收入、成本與淨利,營業費用,仟元,2019,257650
G,收入、成本與淨利,淨利,仟元,2019,53235
G,收入、成本與淨利,營業收入,仟元,2018,2519944
G,收入、成本與淨利,營業成本,仟元,2018,1999441
G,收入、成本與淨利,營業費用,仟元,2018,239640
G,收入、成本與淨利,淨利,仟元,2018,340445
G,收入、成本與淨利,營業收入,仟元,2017,2262373
G,收入、成本與淨利,營業成本,仟元,2017,1694009
G,收入、成本與淨利,營業費用,仟元,2017,248172
G,收入、成本與淨利,淨利,仟元,2017,378420
