分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,持續推動排放減量，目標為主要溫室氣體排放來源之電力使用每年用電密度減少1%，致力達成低污染、低能耗之環境友善政策。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,僅有節電承諾
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,7.892
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,12.147
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.0770000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,31.535999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,11.806
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,17.293000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,5.431
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,60.922
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,8.74
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,13.208
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.651000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,50.783
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,8.067
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.181
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.031
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,59.595
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.42200000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.081
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,62.533
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.605
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.099
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,54.684000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.538
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.08399999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,39.848
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.515
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.082
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,34.971
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.852
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.101
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,32.862
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.48
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.425
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.07200000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,34.612
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.456
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.252
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.068
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,31.837
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.010000000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.43599999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,2.021
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.06
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,27.823999999999998
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.008
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.381
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.038
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.061
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,34.737
E,空氣污染物申報-有害空氣污染物,苯,,,2021,0.007
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,2.7999999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,1.9449999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.057999999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,26.061
E,空氣污染物申報-有害空氣污染物,苯,,,2022,0.005
