年份,Tot數值,Tot變化,是承諾值
2014,1016357.74,67.77,
2015,1386333.58,92.43,
2016,1314299.76,87.63,
2017,1375369.66,91.7,
2018,1372092.47,91.48,
2019,1499807.13,100,
2020,1413654.22,94.26,
2021,2855049.14,190.36,T
2022,2825398.86,188.38,T
2023,2795748.57,186.41,T
2024,2766098.29,184.43,T
2025,2736448,182.45,T
2026,2660198.4,177.37,T
2027,2583948.8,172.29,T
2028,2507699.2,167.2,T
2029,2431449.6,162.12,T
2030,2355200,157.03,T
2031,2237440,149.18,T
2032,2119680,141.33,T
2033,2001920,133.48,T
2034,1884160,125.63,T
2035,1766400,117.78,T
2036,1648640,109.92,T
2037,1530880,102.07,T
2038,1413120,94.22,T
2039,1295360,86.37,T
2040,1177600,78.52,T
2041,1059840,70.67,T
2042,942080,62.81,T
2043,824320,54.96,T
2044,706560,47.11,T
2045,588800,39.26,T
2046,471040,31.41,T
2047,353280,23.56,T
2048,235520,15.7,T
2049,117760,7.85,T
2050,0,0,T
