年份,Tot數值,Tot變化,是承諾值
2013,1257320.41,37.77,
2014,2737040.99,82.23,
2015,2824541.48,84.86,
2016,2898874.46,87.09,
2017,2995422.79,89.99,
2018,3125992.83,93.91,
2019,3328594.96,100,
2020,3470702.6,104.27,
2021,4190444.07,125.89,T
2022,4146925.43,124.58,T
2023,4103406.79,123.28,T
2024,4059888.14,121.97,T
2025,4016369.5,120.66,T
2026,3904455.6,117.3,T
2027,3792541.7,113.94,T
2028,3680627.8,110.58,T
2029,3568713.9,107.21,T
2030,3456800,103.85,T
2031,3283960,98.66,T
2032,3111120,93.47,T
2033,2938280,88.27,T
2034,2765440,83.08,T
2035,2592600,77.89,T
2036,2419760,72.7,T
2037,2246920,67.5,T
2038,2074080,62.31,T
2039,1901240,57.12,T
2040,1728400,51.93,T
2041,1555560,46.73,T
2042,1382720,41.54,T
2043,1209880,36.35,T
2044,1037040,31.16,T
2045,864200,25.96,T
2046,691360,20.77,T
2047,518520,15.58,T
2048,345680,10.39,T
2049,172840,5.19,T
2050,0,0,T
