分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,60000
E,環境違規,違反環境法規次數-水,,次,2018,1
S,員工薪資,平均薪資,,仟元,2020,1553
S,員工薪資,薪資中位數,,仟元,2020,1428
S,員工薪資,平均薪資,,仟元,2019,1083
S,員工薪資,薪資中位數,,仟元,2019,948
S,員工薪資,平均薪資,,仟元,2018,1059
G,資本額,資本額,,元,2020,52908484360
G,資本額,資本額,,元,2019,52908484360
G,營運狀況,營業收入,,仟元,2020,207077912
G,營運狀況,營業成本,,仟元,2020,161590726
G,營運狀況,營業費用,,仟元,2020,10875169
G,營運狀況,淨利,,仟元,2020,28767310
G,營運狀況,營業收入,,仟元,2019,190589281
G,營運狀況,營業成本,,仟元,2019,176071661
G,營運狀況,營業費用,,仟元,2019,10272698
G,營運狀況,淨利,,仟元,2019,-223013
G,營運狀況,營業收入,,仟元,2018,169236653
G,營運狀況,營業成本,,仟元,2018,161771163
G,營運狀況,營業費用,,仟元,2018,8054981
G,營運狀況,淨利,,仟元,2018,78501
G,營運狀況,營業收入,,仟元,2017,150582692
G,營運狀況,營業成本,,仟元,2017,139693568
G,營運狀況,營業費用,,仟元,2017,6558601
G,營運狀況,淨利,,仟元,2017,6661621
G,營運狀況,營業收入,,仟元,2016,124467608
G,營運狀況,營業成本,,仟元,2016,127955772
G,營運狀況,營業費用,,仟元,2016,6235412
G,營運狀況,淨利,,仟元,2016,-8565311
