分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,1205426.3499999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,5914.11
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,1211340.46
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,1415312.05
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,5301.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,1420613.75
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,1484860.8800000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,5187.41
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,1490048.29
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,1533342.36
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,4942.98
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,1538285.34
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,1705940.48
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,4112.9
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,1710053.38
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,1525455.77
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,4536.9
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,1529992.67
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,1653189.99
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,3990.56
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,1657180.55
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,1503439.17
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,4594.3
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,1508033.47
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,1853092.5999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,2606.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,1855698.68
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,372.455
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,493.75699999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,269.795
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,155.901
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,305.71
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,291.52
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,518.1370000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,339.76000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,330.848
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,160.108
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,711.12
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,38.974
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,368.105
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,18.837000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,255.18900000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,9.408000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,213.271
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,9.689
G,資本額,資本額,,元,2020,5150000000
G,資本額,資本額,,元,2019,5150000000
