分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,未來三年管理目標，平均每年碳排放減量1%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
S,員工薪資,平均薪資,,仟元,2020,1404
S,員工薪資,薪資中位數,,仟元,2020,992
S,員工薪資,平均薪資,,仟元,2019,1388
S,員工薪資,薪資中位數,,仟元,2019,999
S,員工薪資,平均薪資,,仟元,2018,1291
G,資本額,資本額,,元,2020,689419426
G,資本額,資本額,,元,2019,689419426
G,營運狀況,營業收入,,仟元,2020,16424018
G,營運狀況,營業成本,,仟元,2020,13977042
G,營運狀況,營業費用,,仟元,2020,1125899
G,營運狀況,淨利,,仟元,2020,1362120
G,營運狀況,營業收入,,仟元,2019,15464381
G,營運狀況,營業成本,,仟元,2019,13324233
G,營運狀況,營業費用,,仟元,2019,1043130
G,營運狀況,淨利,,仟元,2019,1405855
G,營運狀況,營業收入,,仟元,2018,15756626
G,營運狀況,營業成本,,仟元,2018,13435901
G,營運狀況,營業費用,,仟元,2018,930857
G,營運狀況,淨利,,仟元,2018,1316458
G,營運狀況,營業收入,,仟元,2017,14130623
G,營運狀況,營業成本,,仟元,2017,12144429
G,營運狀況,營業費用,,仟元,2017,891772
G,營運狀況,淨利,,仟元,2017,1113022
G,營運狀況,營業收入,,仟元,2016,10941726
G,營運狀況,營業成本,,仟元,2016,9978264
G,營運狀況,營業費用,,仟元,2016,599749
G,營運狀況,淨利,,仟元,2016,839630
