分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,1059
S,員工薪資,薪資中位數,,仟元,2020,952
S,員工薪資,平均薪資,,仟元,2019,1030
S,員工薪資,薪資中位數,,仟元,2019,941
S,員工薪資,平均薪資,,仟元,2018,1063
G,資本額,資本額,,元,2020,1500000000
G,資本額,資本額,,元,2019,1500000000
G,營運狀況,營業收入,,仟元,2020,1899439
G,營運狀況,營業成本,,仟元,2020,1141678
G,營運狀況,營業費用,,仟元,2020,337963
G,營運狀況,淨利,,仟元,2020,337210
G,營運狀況,營業收入,,仟元,2019,1725468
G,營運狀況,營業成本,,仟元,2019,1063529
G,營運狀況,營業費用,,仟元,2019,309567
G,營運狀況,淨利,,仟元,2019,293282
G,營運狀況,營業收入,,仟元,2018,1583601
G,營運狀況,營業成本,,仟元,2018,928016
G,營運狀況,營業費用,,仟元,2018,321291
G,營運狀況,淨利,,仟元,2018,280025
G,營運狀況,營業收入,,仟元,2017,1404434
G,營運狀況,營業成本,,仟元,2017,795648
G,營運狀況,營業費用,,仟元,2017,315860
G,營運狀況,淨利,,仟元,2017,254341
G,營運狀況,營業收入,,仟元,2016,1248013
G,營運狀況,營業成本,,仟元,2016,710711
G,營運狀況,營業費用,,仟元,2016,299248
G,營運狀況,淨利,,仟元,2016,205534
