分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2011,4500
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,42000
E,環境違規,違反環境法規次數-misc,,次,2012,3
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,22000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,1500
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,12000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,16400
E,環境違規,違反環境法規次數-misc,,次,2020,2
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,872
S,員工薪資,薪資中位數,,仟元,2020,816
S,員工薪資,平均薪資,,仟元,2019,907
S,員工薪資,薪資中位數,,仟元,2019,836
S,員工薪資,平均薪資,,仟元,2018,810
G,資本額,資本額,,元,2020,2191971800
G,資本額,資本額,,元,2019,2191971800
G,營運狀況,營業收入,,仟元,2020,3409980
G,營運狀況,營業成本,,仟元,2020,2707819
G,營運狀況,營業費用,,仟元,2020,186754
G,營運狀況,淨利,,仟元,2020,453059
G,營運狀況,營業收入,,仟元,2019,4394621
G,營運狀況,營業成本,,仟元,2019,3594936
G,營運狀況,營業費用,,仟元,2019,263686
G,營運狀況,淨利,,仟元,2019,489267
G,營運狀況,營業收入,,仟元,2018,2577520
G,營運狀況,營業成本,,仟元,2018,1929159
G,營運狀況,營業費用,,仟元,2018,187475
G,營運狀況,淨利,,仟元,2018,443086
G,營運狀況,營業收入,,仟元,2017,1973718
G,營運狀況,營業成本,,仟元,2017,1650131
G,營運狀況,營業費用,,仟元,2017,145081
G,營運狀況,淨利,,仟元,2017,218503
G,營運狀況,營業收入,,仟元,2016,1834590
G,營運狀況,營業成本,,仟元,2016,1429916
G,營運狀況,營業費用,,仟元,2016,180300
G,營運狀況,淨利,,仟元,2016,237104
