分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,468
S,員工薪資,薪資中位數,,仟元,2020,410
S,員工薪資,平均薪資,,仟元,2019,559
S,員工薪資,薪資中位數,,仟元,2019,471
S,員工薪資,平均薪資,,仟元,2018,584
G,資本額,資本額,,元,2020,747225560
G,資本額,資本額,,元,2019,747225560
G,營運狀況,營業收入,,仟元,2020,6545177
G,營運狀況,營業成本,,仟元,2020,5496397
G,營運狀況,營業費用,,仟元,2020,2006786
G,營運狀況,淨利,,仟元,2020,-415013
G,營運狀況,營業收入,,仟元,2019,30160201
G,營運狀況,營業成本,,仟元,2019,26944283
G,營運狀況,營業費用,,仟元,2019,3083562
G,營運狀況,淨利,,仟元,2019,241861
G,營運狀況,營業收入,,仟元,2018,29621685
G,營運狀況,營業成本,,仟元,2018,26440122
G,營運狀況,營業費用,,仟元,2018,3005135
G,營運狀況,淨利,,仟元,2018,265850
G,營運狀況,營業收入,,仟元,2017,26783529
G,營運狀況,營業成本,,仟元,2017,23581067
G,營運狀況,營業費用,,仟元,2017,2771001
G,營運狀況,淨利,,仟元,2017,464824
G,營運狀況,營業收入,,仟元,2016,21875701
G,營運狀況,營業成本,,仟元,2016,19216904
G,營運狀況,營業費用,,仟元,2016,2509264
G,營運狀況,淨利,,仟元,2016,239393
