分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,286.88
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,6.332501817216997
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,286.88
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,37
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,423.23
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,13.160859718155198
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,460.23
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,27.06
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,376.41
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,15.324312775957841
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,403.47
E,能源使用狀況,總用電量,true,度,2018,725242
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,16008.771203716151
E,能源使用狀況,總用電量,true,度,2019,794055
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,22707.008372986824
E,能源使用狀況,總用電量,true,度,2020,739500
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,28087.167070217918
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,溫室氣體排放量減量目標設定為平均年節碳率>1%以上，詳細內容請參考本公司2021年永續報告書。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,水資源,總取水量,true,噸,2018,3596000
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,,2018,無揭露
E,水資源,總取水量,true,噸,2019,5507000
