分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,6000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2021,6000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,553
S,員工薪資,薪資中位數,,仟元,2020,486
S,員工薪資,平均薪資,,仟元,2019,568
S,員工薪資,薪資中位數,,仟元,2019,497
S,員工薪資,平均薪資,,仟元,2018,491
G,資本額,資本額,,元,2020,904825500
G,資本額,資本額,,元,2019,904825500
G,營運狀況,營業收入,,仟元,2020,1833643
G,營運狀況,營業成本,,仟元,2020,1387201
G,營運狀況,營業費用,,仟元,2020,355399
G,營運狀況,淨利,,仟元,2020,108891
G,營運狀況,營業收入,,仟元,2019,2380624
G,營運狀況,營業成本,,仟元,2019,1651086
G,營運狀況,營業費用,,仟元,2019,457194
G,營運狀況,淨利,,仟元,2019,183789
