分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,7.789
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,11.832
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,10.350000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.786
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,8.499
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.008
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,7.742999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.021
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,6.733
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.024
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,7.208
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.04
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,8.488
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.172
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.07100000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,9.236999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.086
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,7.393
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.074
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.404
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.08399999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,7.098000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.07
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,5.558999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.027999999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,1.931
E,環境違規,違反環境法規金額-misc,,元,2014,60000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2018,18000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,60000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,400
S,員工薪資,薪資中位數,,仟元,2020,378
S,員工薪資,平均薪資,,仟元,2019,420
S,員工薪資,薪資中位數,,仟元,2019,391
S,員工薪資,平均薪資,,仟元,2018,432
G,資本額,資本額,,元,2020,710714900
G,資本額,資本額,,元,2019,710714900
