分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2010,6000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
S,員工薪資,平均薪資,,仟元,2020,858
S,員工薪資,薪資中位數,,仟元,2020,829
S,員工薪資,平均薪資,,仟元,2019,1123
S,員工薪資,薪資中位數,,仟元,2019,964
S,員工薪資,平均薪資,,仟元,2018,1457
G,資本額,資本額,,元,2020,2645912660
G,資本額,資本額,,元,2019,2645912660
G,營運狀況,營業收入,,仟元,2020,1000376
G,營運狀況,營業成本,,仟元,2020,768822
G,營運狀況,營業費用,,仟元,2020,214347
G,營運狀況,淨利,,仟元,2020,44132
G,營運狀況,營業收入,,仟元,2019,2588275
G,營運狀況,營業成本,,仟元,2019,1829105
G,營運狀況,營業費用,,仟元,2019,330665
G,營運狀況,淨利,,仟元,2019,392438
G,營運狀況,營業收入,,仟元,2018,4187845
G,營運狀況,營業成本,,仟元,2018,2852042
G,營運狀況,營業費用,,仟元,2018,320391
G,營運狀況,淨利,,仟元,2018,927817
G,營運狀況,營業收入,,仟元,2017,1479962
G,營運狀況,營業成本,,仟元,2017,959622
G,營運狀況,營業費用,,仟元,2017,231523
G,營運狀況,淨利,,仟元,2017,279035
G,營運狀況,營業收入,,仟元,2016,993800
G,營運狀況,營業成本,,仟元,2016,729393
G,營運狀況,營業費用,,仟元,2016,197253
G,營運狀況,淨利,,仟元,2016,59562
