分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,5.6
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,15.999999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,17.200000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,10.399999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,12
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,12.8
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,14.200000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,10.4
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,14.000000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,1
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,18
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.8
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,10.8
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.8
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,10.751000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,1.3949999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,9.738
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,1.759
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,8.475999999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.976
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,3.546
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.195
S,員工薪資,平均薪資,,仟元,2020,544
S,員工薪資,薪資中位數,,仟元,2020,511
S,員工薪資,平均薪資,,仟元,2019,529
S,員工薪資,薪資中位數,,仟元,2019,503
S,員工薪資,平均薪資,,仟元,2018,598
G,資本額,資本額,,元,2020,1080106890
G,資本額,資本額,,元,2019,1080106890
