年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,101929.4,106,80594,108.54,21335.4,97.38,
2020,91341.24,94.99,69462.28,93.55,21878.96,99.86,
2019,96160.65,100,74251.43,100,21909.22,100,
2018,101715.75,105.78,78489.78,105.71,23225.97,106.01,
2017,108128.68,112.45,85680.47,115.39,22448.21,102.46,
2016,116446.28,121.1,93995.48,126.59,22450.8,102.47,
2015,119648.29,124.43,96782.04,130.34,22866.25,104.37,
2014,128558.54,133.69,103616.65,139.55,24941.89,113.84,
2022,102000.62,106.07,81295.41,109.49,20705.21,94.5,T
2023,102071.83,106.15,81996.81,110.43,20075.02,91.63,T
2024,102143.05,106.22,82698.22,111.38,19444.83,88.75,T
2025,102214.27,106.3,83399.63,112.32,18814.64,85.88,T
2026,102285.48,106.37,84101.03,113.27,18184.45,83,T
2027,102356.7,106.44,84802.44,114.21,17554.26,80.12,T
2028,102427.92,106.52,85503.85,115.15,16924.07,77.25,T
2029,102499.13,106.59,86205.25,116.1,16293.88,74.37,T
2030,102570.35,106.67,86906.66,117.04,15663.69,71.49,T
2031,102641.57,106.74,87608.07,117.99,15033.5,68.62,T
2032,102712.78,106.81,88309.47,118.93,14403.31,65.74,T
2033,102784,106.89,89010.88,119.88,13773.12,62.86,T
2034,102855.22,106.96,89712.29,120.82,13142.93,59.99,T
2035,102926.43,107.04,90413.69,121.77,12512.74,57.11,T
2036,102997.65,107.11,91115.1,122.71,11882.55,54.24,T
2037,103068.87,107.18,91816.51,123.66,11252.36,51.36,T
2038,103140.08,107.26,92517.91,124.6,10622.17,48.48,T
2039,103211.3,107.33,93219.32,125.55,9991.98,45.61,T
2040,103282.52,107.41,93920.73,126.49,9361.79,42.73,T
2041,103353.73,107.48,94622.13,127.43,8731.6,39.85,T
2042,103424.95,107.55,95323.54,128.38,8101.41,36.98,T
2043,103496.17,107.63,96024.95,129.32,7471.22,34.1,T
2044,103567.38,107.7,96726.35,130.27,6841.03,31.22,T
2045,103638.6,107.78,97427.76,131.21,6210.84,28.35,T
2046,103709.82,107.85,98129.17,132.16,5580.65,25.47,T
2047,103781.03,107.92,98830.57,133.1,4950.46,22.6,T
2048,103852.25,108,99531.98,134.05,4320.27,19.72,T
2049,103923.47,108.07,100233.39,134.99,3690.08,16.84,T
2050,103994.68,108.15,100934.79,135.94,3059.89,13.97,T
