分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,103616.65
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,24941.89
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,128558.54
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,96782.04
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,22866.25
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,119648.29
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,93995.48
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,22450.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,116446.28
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,85680.47
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,22448.21
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,108128.68
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,78489.78
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,23225.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,101715.75
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,74251.43
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,21909.22
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,96160.65
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,69462.28
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,21878.96
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,91341.23999999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,80594
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,21335.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,101929.4
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.934
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,33.137
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.851
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.222
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,27.948
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,109.26
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.832
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,13.244
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,148.024
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,477.69399999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.348
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,61.71600000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,164.348
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,550.475
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,9.271
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,23.404000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,80.307
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,255.312
