分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.432
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.592
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,14.135000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,13.849
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,16.259
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,15.508
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,9.744
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,9.314
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,12.671999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,5.667
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.103
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.078
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,4.973
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.678
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.512
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,4.704
E,環境違規,違反環境法規金額,,元,2013,100000
E,環境違規,違反環境法規次數,,次,2013,1
E,環境違規,違反環境法規金額,,元,2018,200000
E,環境違規,違反環境法規次數,,次,2018,2
S,員工薪資,平均薪資,,仟元,2020,602
S,員工薪資,薪資中位數,,仟元,2020,523
S,員工薪資,平均薪資,,仟元,2019,519
S,員工薪資,薪資中位數,,仟元,2019,382
S,員工薪資,平均薪資,,仟元,2018,537
G,資本額,資本額,,元,2020,1663028810
G,資本額,資本額,,元,2019,1663028810
G,營運狀況,營業收入,,仟元,2020,759358
G,營運狀況,營業成本,,仟元,2020,464314
G,營運狀況,營業費用,,仟元,2020,153936
G,營運狀況,淨利,,仟元,2020,105636
G,營運狀況,營業收入,,仟元,2019,498284
G,營運狀況,營業成本,,仟元,2019,346476
G,營運狀況,營業費用,,仟元,2019,156160
G,營運狀況,淨利,,仟元,2019,441
G,營運狀況,營業收入,,仟元,2018,520371
G,營運狀況,營業成本,,仟元,2018,343587
G,營運狀況,營業費用,,仟元,2018,162774
G,營運狀況,淨利,,仟元,2018,27653
G,營運狀況,營業收入,,仟元,2017,449641
G,營運狀況,營業成本,,仟元,2017,303531
G,營運狀況,營業費用,,仟元,2017,168834
G,營運狀況,淨利,,仟元,2017,-33989
G,營運狀況,營業收入,,仟元,2016,518051
G,營運狀況,營業成本,,仟元,2016,361332
G,營運狀況,營業費用,,仟元,2016,190911
G,營運狀況,淨利,,仟元,2016,13874
