年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,75804.77,119.66,26586.72,152.28,49218.05,107.25,
2021,79676.75,125.77,26815.67,153.59,52861.08,115.18,
2020,72850.71,114.99,21574.42,123.57,51276.29,111.73,
2019,63352.34,100,17459.27,100,45893.07,100,
2018,83022.29,131.05,21862.25,125.22,61160.04,133.27,
2017,113309.13,178.86,31150.49,178.42,82158.64,179.02,
2016,118709.46,187.38,35339.06,202.41,83370.4,181.66,
2015,139046.84,219.48,39607.12,226.85,99439.72,216.68,
2014,163402.07,257.93,44757.45,256.35,118644.62,258.52,
2013,170165.57,268.6,48141.08,275.73,122024.49,265.89,
2023,79955.57,126.21,29629.2,169.7,50326.37,109.66,T
2024,84106.38,132.76,32671.68,187.13,51434.7,112.08,T
2025,88257.19,139.31,35714.17,204.56,52543.03,114.49,T
2026,92408,145.86,38756.65,221.98,53651.35,116.91,T
2027,96558.81,152.42,41799.13,239.41,54759.68,119.32,T
2028,100709.62,158.97,44841.61,256.84,55868,121.74,T
2029,104860.43,165.52,47884.1,274.26,56976.33,124.15,T
2030,109011.24,172.07,50926.58,291.69,58084.66,126.57,T
2031,113162.04,178.62,53969.06,309.11,59192.98,128.98,T
2032,117312.85,185.18,57011.54,326.54,60301.31,131.4,T
2033,121463.66,191.73,60054.03,343.97,61409.63,133.81,T
2034,125614.47,198.28,63096.51,361.39,62517.96,136.23,T
2035,129765.28,204.83,66138.99,378.82,63626.29,138.64,T
2036,133916.09,211.38,69181.48,396.24,64734.61,141.06,T
2037,138066.9,217.93,72223.96,413.67,65842.94,143.47,T
2038,142217.7,224.49,75266.44,431.1,66951.26,145.89,T
2039,146368.51,231.04,78308.92,448.52,68059.59,148.3,T
2040,150519.32,237.59,81351.41,465.95,69167.92,150.72,T
2041,154670.13,244.14,84393.89,483.38,70276.24,153.13,T
2042,158820.94,250.69,87436.37,500.8,71384.57,155.55,T
2043,162971.75,257.25,90478.85,518.23,72492.89,157.96,T
2044,167122.56,263.8,93521.34,535.65,73601.22,160.38,T
2045,171273.37,270.35,96563.82,553.08,74709.55,162.79,T
2046,175424.17,276.9,99606.3,570.51,75817.87,165.21,T
2047,179574.98,283.45,102648.78,587.93,76926.2,167.62,T
2048,183725.79,290.01,105691.27,605.36,78034.52,170.04,T
2049,187876.6,296.56,108733.75,622.79,79142.85,172.45,T
2050,192027.41,303.11,111776.23,640.21,80251.18,174.87,T
