統編,年份,Tot數值,Tot變化,是推估值
03522600,2020,791000,109.1,
03522600,2021,759360,104.74,T
03522600,2022,727720,100.38,T
03522600,2023,696080,96.01,T
03522600,2024,664440,91.65,T
03522600,2025,632800,87.28,
03522600,2026,601160,82.92,T
03522600,2027,569520,78.55,T
03522600,2028,537880,74.19,T
03522600,2029,506240,69.83,T
03522600,2030,474600,65.46,
03522600,2031,450870,62.19,T
03522600,2032,427140,58.92,T
03522600,2033,403410,55.64,T
03522600,2034,379680,52.37,T
03522600,2035,355950,49.1,T
03522600,2036,332220,45.82,T
03522600,2037,308490,42.55,T
03522600,2038,284760,39.28,T
03522600,2039,261030,36,T
03522600,2040,237300,32.73,T
03522600,2041,213570,29.46,T
03522600,2042,189840,26.18,T
03522600,2043,166110,22.91,T
03522600,2044,142380,19.64,T
03522600,2045,118650,16.37,T
03522600,2046,94920,13.09,T
03522600,2047,71190,9.82,T
03522600,2048,47460,6.55,T
03522600,2049,23730,3.27,T
03522600,2050,0,0,
22817999,2020,125306.45,91.04,
22817999,2021,117788.06,85.58,T
22817999,2022,110269.68,80.12,T
22817999,2023,102751.29,74.65,T
22817999,2024,95232.9,69.19,T
22817999,2025,87714.52,63.73,
22817999,2026,82702.26,60.09,T
22817999,2027,77690,56.45,T
22817999,2028,72677.74,52.8,T
22817999,2029,67665.48,49.16,T
22817999,2030,62653.22,45.52,
22817999,2031,59520.56,43.25,T
22817999,2032,56387.9,40.97,T
22817999,2033,53255.24,38.69,T
22817999,2034,50122.58,36.42,T
22817999,2035,46989.92,34.14,T
22817999,2036,43857.26,31.86,T
22817999,2037,40724.6,29.59,T
22817999,2038,37591.94,27.31,T
22817999,2039,34459.27,25.04,T
22817999,2040,31326.61,22.76,T
22817999,2041,28193.95,20.48,T
22817999,2042,25061.29,18.21,T
22817999,2043,21928.63,15.93,T
22817999,2044,18795.97,13.66,T
22817999,2045,15663.31,11.38,T
22817999,2046,12530.64,9.1,T
22817999,2047,9397.98,6.83,T
22817999,2048,6265.32,4.55,T
22817999,2049,3132.66,2.28,T
22817999,2050,0,0,
