統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
56121907,2020,111334.31,62.23,93019.28,66.69,18315.03,46.46,
56121907,2019,178899.81,100,139478.44,100,39421.37,100,
56121907,2018,172672.22,96.52,131741.05,94.45,40931.17,103.83,
56121907,2017,171827.98,96.05,134705.12,96.58,37122.86,94.17,
56121907,2016,224135.15,125.29,177155.62,127.01,46979.53,119.17,
56121907,2015,250401.8,139.97,197888.52,141.88,52513.28,133.21,
56121907,2014,251115.36,140.37,200005.72,143.4,51109.64,129.65,
56121907,2021,91169.75,50.96,79124,56.73,12045.75,30.56,T
56121907,2022,71005.2,39.69,65228.72,46.77,5776.48,14.65,T
56121907,2023,50840.64,28.42,51333.44,36.8,0,0,T
56121907,2024,30676.08,17.15,37438.16,26.84,0,0,T
56121907,2025,10511.53,5.88,23542.88,16.88,0,0,T
56121907,2026,0,0,9647.6,6.92,0,0,T
56121907,2027,0,0,0,0,0,0,T
56121907,2028,0,0,0,0,0,0,T
56121907,2029,0,0,0,0,0,0,T
56121907,2030,0,0,0,0,0,0,T
56121907,2031,0,0,0,0,0,0,T
56121907,2032,0,0,0,0,0,0,T
56121907,2033,0,0,0,0,0,0,T
56121907,2034,0,0,0,0,0,0,T
56121907,2035,0,0,0,0,0,0,T
56121907,2036,0,0,0,0,0,0,T
56121907,2037,0,0,0,0,0,0,T
56121907,2038,0,0,0,0,0,0,T
56121907,2039,0,0,0,0,0,0,T
56121907,2040,0,0,0,0,0,0,T
56121907,2041,0,0,0,0,0,0,T
56121907,2042,0,0,0,0,0,0,T
56121907,2043,0,0,0,0,0,0,T
56121907,2044,0,0,0,0,0,0,T
56121907,2045,0,0,0,0,0,0,T
56121907,2046,0,0,0,0,0,0,T
56121907,2047,0,0,0,0,0,0,T
56121907,2048,0,0,0,0,0,0,T
56121907,2049,0,0,0,0,0,0,T
56121907,2050,0,0,0,0,0,0,T
