統編,分類,子分類,項目,來自公司報告,單位,年份,數值
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,93805.7
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,90524.51
22101116,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2006,0
22101116,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2006,67531.27
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2007,148085.23
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2007,283904.19
89406518,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,2463.709999999992
89406518,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,186060.47
22099110,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,55539.65000000001
22099110,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,51528.92
22099131,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,1112405.32
22099131,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,3158257.9399999995
22099218,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,34084.45000000001
22099218,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,163609.08
22099548,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,199135.15
22099548,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,245216.5
28112646,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,27916.929999999993
28112646,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,43252.61
28112667,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,21040.930000000008
28112667,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,91752.51
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,368758.58
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,916472.52
89390656,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,35114.67999999999
89390656,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,205234.43
22099110,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,58311.759999999995
22099110,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,52293.22
22099131,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,1274991.2700000003
22099131,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,3902956.040000001
22099218,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,41374.24000000002
22099218,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,177709.08
22099548,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,180882.87
22099548,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,243214.03
28112646,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,26846.799999999996
28112646,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,42519.85
28112667,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,21232.949999999997
28112667,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,90557.77
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,407585.41
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,992639.46
89390656,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,33013.01000000001
89390656,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,208192.27
22099110,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,59247.950000000004
22099110,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,50836.27
22099131,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,1396358.63
22099131,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4138429.4900000007
22099218,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,47575.79999999999
22099218,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,200860.95
22099548,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,162584.33000000002
22099548,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,238724.41999999998
28112646,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,27890.179999999993
28112646,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,41034.47
28112667,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,19343.12000000001
28112667,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,91070.01
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,454176.18999999994
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,972151.24
89390656,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,44372.17999999999
89390656,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,221559.14
22099110,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,229801.56
22099110,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,102121.36
22099110,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,22864.30328964227
22099131,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,1882209.4099999997
22099131,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,4946100.54
22099131,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,720.3327086851124
22099218,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,63672.640000000014
22099218,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,206301.69
22099218,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,641.3955061791385
22099548,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,143499.19
22099548,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,233578.81
22099548,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1563.0193658662333
22404266,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,250.67000000000007
22404266,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,5367.71
22404266,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,2464.6341463414633
28112646,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,34394.81
28112646,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,40830.34
28112646,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,903.1404372475623
28112667,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,25404.42
28112667,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,93449.52
47217677,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,492545.05000000005
47217677,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,1107956.52
47217677,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1082.3698031118172
89390656,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,51584.82999999999
89390656,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,238436.6
89390656,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,696.6225789200049
22099110,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,130564.21
22099110,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,54956.11
22099110,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,11336.567516683705
22099131,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,1638050.5200000005
22099131,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,5910749.44
22099131,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,772.2974339031359
22099218,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,62318.359999999986
22099218,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,250858.76
22099218,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,658.0485979599172
22099548,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,179330.25
22099548,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,253151.68
22099548,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1264.6810899555971
22404266,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,484.40999999999985
22404266,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,6146.16
22404266,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,2532.7529765883733
