產業別,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
10,2020,33921595.2,94.93,29168584.1,94.08,4753011.1,100.49,
10,2019,35734405.98,100,31004398.62,100,4730007.36,100,
10,2018,37903476.29,106.07,32733329.74,105.58,5170146.55,109.31,
10,2017,36879285.07,103.2,31654610.44,102.1,5224674.63,110.46,
10,2016,37068863.07,103.73,32265744.17,104.07,4803118.9,101.55,
10,2015,36052143.61,100.89,31498952.08,101.6,4553191.53,96.26,
10,2014,35803051.88,100.19,31196297.87,100.62,4606754.01,97.39,
10,2013,34423269.4,96.33,30183630.06,97.35,4239639.34,89.63,
10,2021,32935698.58,92.17,28339908.65,91.41,4595789.92,97.16,T
10,2022,31949801.95,89.41,27511233.21,88.73,4438568.75,93.84,T
10,2023,30963905.33,86.65,26682557.76,86.06,4281347.57,90.51,T
10,2024,29978008.71,83.89,25853882.31,83.39,4124126.39,87.19,T
10,2025,28992112.08,81.13,25025206.87,80.72,3966905.22,83.87,T
10,2026,28006215.46,78.37,24196531.42,78.04,3809684.04,80.54,T
10,2027,27020318.84,75.61,23367855.97,75.37,3652462.86,77.22,T
10,2028,26034422.21,72.86,22539180.53,72.7,3495241.69,73.9,T
10,2029,25048525.59,70.1,21710505.08,70.02,3338020.51,70.57,T
10,2030,24062628.97,67.34,20881829.63,67.35,3180799.33,67.25,T
10,2031,23076732.34,64.58,20053154.19,64.68,3023578.16,63.92,T
10,2032,22090835.72,61.82,19224478.74,62.01,2866356.98,60.6,T
10,2033,21104939.1,59.06,18395803.29,59.33,2709135.8,57.28,T
10,2034,20119042.47,56.3,17567127.85,56.66,2551914.63,53.95,T
10,2035,19133145.85,53.54,16738452.4,53.99,2394693.45,50.63,T
10,2036,18147249.23,50.78,15909776.95,51.31,2237472.27,47.3,T
10,2037,17161352.6,48.02,15081101.51,48.64,2080251.1,43.98,T
10,2038,16175455.98,45.27,14252426.06,45.97,1923029.92,40.66,T
10,2039,15189559.36,42.51,13423750.61,43.3,1765808.74,37.33,T
10,2040,14203662.73,39.75,12595075.17,40.62,1608587.57,34.01,T
10,2041,13217766.11,36.99,11766399.72,37.95,1451366.39,30.68,T
10,2042,12231869.49,34.23,10937724.27,35.28,1294145.21,27.36,T
10,2043,11245972.86,31.47,10109048.83,32.61,1136924.04,24.04,T
10,2044,10260076.24,28.71,9280373.38,29.93,979702.86,20.71,T
10,2045,9274179.62,25.95,8451697.93,27.26,822481.68,17.39,T
10,2046,8288282.99,23.19,7623022.49,24.59,665260.51,14.06,T
10,2047,7302386.37,20.44,6794347.04,21.91,508039.33,10.74,T
10,2048,6316489.75,17.68,5965671.59,19.24,350818.15,7.42,T
10,2049,5330593.12,14.92,5136996.15,16.57,193596.98,4.09,T
10,2050,4344696.5,12.16,4308320.7,13.9,36375.8,0.77,T
11,2020,216195.26,93.64,114327.83,98.27,101867.43,88.94,
11,2019,230873.52,100,116335.31,100,114538.21,100,
11,2018,238035.04,103.1,120353.82,103.45,117681.22,102.74,
11,2017,484467.51,209.84,330424.62,284.03,154042.89,134.49,
11,2016,529691.32,229.43,385725.21,331.56,143966.11,125.69,
11,2015,463076.96,200.58,313439.2,269.43,149637.76,130.64,
11,2014,490779.55,212.58,348725.29,299.76,142054.26,124.02,
11,2021,126771.18,54.91,42295.57,36.36,84475.61,73.75,T
11,2022,37347.09,16.18,0,0,67083.79,58.57,T
11,2023,0,0,0,0,49691.97,43.38,T
11,2024,0,0,0,0,32300.15,28.2,T
11,2025,0,0,0,0,14908.33,13.02,T
11,2026,0,0,0,0,0,0,T
11,2027,0,0,0,0,0,0,T
11,2028,0,0,0,0,0,0,T
11,2029,0,0,0,0,0,0,T
11,2030,0,0,0,0,0,0,T
11,2031,0,0,0,0,0,0,T
11,2032,0,0,0,0,0,0,T
11,2033,0,0,0,0,0,0,T
11,2034,0,0,0,0,0,0,T
11,2035,0,0,0,0,0,0,T
11,2036,0,0,0,0,0,0,T
11,2037,0,0,0,0,0,0,T
11,2038,0,0,0,0,0,0,T
11,2039,0,0,0,0,0,0,T
11,2040,0,0,0,0,0,0,T
11,2041,0,0,0,0,0,0,T
11,2042,0,0,0,0,0,0,T
11,2043,0,0,0,0,0,0,T
11,2044,0,0,0,0,0,0,T
